from	to	weight
301093	301012	0.46
301094	301012	0.287
301095	301012	0.481
301096	301012	0.338
301097	301012	0.34
301098	301012	0.295
301099	301012	0.271
301100	301012	0.437
301102	301012	0.265
301104	301012	0.291
301106	301012	0.567
301108	301012	0.436
301109	301012	0.489
301110	301012	0.29
301112	301012	0.675
301113	301012	0.188
301114	301012	0.315
301115	301012	0.322
301116	301012	0.253
301117	301012	0.287
301120	301012	0.453
301001	301121	0.25
301010	301121	0.261
301092	301121	0.635
301093	301121	0.479
301094	301121	0.306
301095	301121	0.515
301096	301121	0.354
301097	301121	0.354
301098	301121	0.321
301099	301121	0.295
301100	301121	0.419
301102	301121	0.287
301104	301121	0.295
301106	301121	0.538
301108	301121	0.435
301109	301121	0.461
301110	301121	0.315
301112	301121	0.618
301113	301121	0.205
301114	301121	0.334
301115	301121	0.336
301116	301121	0.273
301117	301121	0.304
301120	301121	0.461
301012	301121	0.622
301001	301122	0.898
301010	301122	0.876
301092	301122	0.282
301093	301122	0.27
301094	301122	0.529
301095	301122	0.303
301096	301122	0.7
301097	301122	0.716
301098	301122	0.862
301099	301122	0.932
301100	301122	0.25
301102	301122	0.935
301104	301122	0.515
301106	301122	0.205
301108	301122	0.261
301109	301122	0.246
301110	301122	0.854
301112	301122	0.266
301113	301122	0.546
301114	301122	0.742
301115	301122	0.765
301116	301122	0.65
301117	301122	0.742
301120	301122	0.305
301012	301122	0.271
301121	301122	0.291
301001	301123	0.862
301010	301123	0.825
301092	301123	0.273
301093	301123	0.263
301094	301123	0.527
301095	301123	0.292
301096	301123	0.69
301097	301123	0.702
301098	301123	0.834
301099	301123	0.872
301100	301123	0.254
301102	301123	0.881
301104	301123	0.49
301106	301123	0.213
301108	301123	0.251
301109	301123	0.238
301110	301123	0.806
301112	301123	0.263
301113	301123	0.531
301114	301123	0.717
301115	301123	0.733
301116	301123	0.623
301117	301123	0.712
301120	301123	0.292
301012	301123	0.267
301121	301123	0.292
301122	301123	0.892
301001	301124	0.254
301010	301124	0.253
301092	301124	0.503
301093	301124	0.733
301094	301124	0.339
301095	301124	0.734
301096	301124	0.344
301097	301124	0.332
301098	301124	0.326
301099	301124	0.294
301100	301124	0.677
301102	301124	0.285
301104	301124	0.359
301106	301124	0.414
301108	301124	0.664
301109	301124	0.698
301110	301124	0.302
301112	301124	0.462
301113	301124	0.21
301114	301124	0.313
301115	301124	0.319
301116	301124	0.265
301117	301124	0.306
301120	301124	0.767
301012	301124	0.453
301121	301124	0.459
301122	301124	0.288
301123	301124	0.28
301001	301125	0.262
301010	301125	0.255
301092	301125	0.667
301093	301125	0.565
301094	301125	0.326
301095	301125	0.577
301096	301125	0.372
301097	301125	0.37
301098	301125	0.33
301099	301125	0.302
301100	301125	0.48
301102	301125	0.291
301104	301125	0.335
301106	301125	0.558
301108	301125	0.512
301109	301125	0.518
301110	301125	0.317
301112	301125	0.622
301113	301125	0.208
301114	301125	0.338
301115	301125	0.345
301116	301125	0.272
301117	301125	0.317
301120	301125	0.537
301012	301125	0.631
301121	301125	0.582
301122	301125	0.299
301123	301125	0.291
301124	301125	0.554
301001	301127	0.244
301010	301127	0.25
301092	301127	0.638
301093	301127	0.525
301094	301127	0.321
301095	301127	0.549
301096	301127	0.354
301097	301127	0.355
301098	301127	0.317
301099	301127	0.291
301100	301127	0.466
301102	301127	0.277
301104	301127	0.34
301106	301127	0.551
301108	301127	0.489
301109	301127	0.502
301110	301127	0.304
301112	301127	0.6
301113	301127	0.212
301114	301127	0.329
301115	301127	0.334
301116	301127	0.271
301117	301127	0.308
301120	301127	0.508
301012	301127	0.609
301121	301127	0.558
301122	301127	0.286
301123	301127	0.279
301124	301127	0.537
301125	301127	0.907
301001	301128	0.847
301010	301128	0.802
301092	301128	0.296
301093	301128	0.293
301094	301128	0.529
301095	301128	0.328
301096	301128	0.745
301097	301128	0.77
301098	301128	0.847
301099	301128	0.876
301100	301128	0.269
301102	301128	0.879
301104	301128	0.508
301106	301128	0.216
301108	301128	0.292
301109	301128	0.257
301110	301128	0.89
301112	301128	0.285
301113	301128	0.568
301114	301128	0.8
301115	301128	0.809
301116	301128	0.697
301117	301128	0.772
301120	301128	0.324
301012	301128	0.281
301121	301128	0.314
301122	301128	0.886
301123	301128	0.827
301124	301128	0.311
301125	301128	0.317
301127	301128	0.305
301001	301129	0.685
301010	301129	0.648
301092	301129	0.342
301093	301129	0.314
301094	301129	0.523
301095	301129	0.333
301096	301129	0.75
301097	301129	0.768
301098	301129	0.72
301099	301129	0.692
301100	301129	0.279
301102	301129	0.701
301104	301129	0.496
301106	301129	0.282
301108	301129	0.292
301109	301129	0.28
301110	301129	0.76
301112	301129	0.332
301113	301129	0.575
301114	301129	0.789
301115	301129	0.801
301116	301129	0.673
301117	301129	0.777
301120	301129	0.31
301012	301129	0.325
301121	301129	0.336
301122	301129	0.693
301123	301129	0.682
301124	301129	0.295
301125	301129	0.333
301127	301129	0.315
301128	301129	0.728
301001	301130	0.243
301010	301130	0.246
301092	301130	0.521
301093	301130	0.64
301094	301130	0.33
301095	301130	0.672
301096	301130	0.348
301097	301130	0.339
301098	301130	0.315
301099	301130	0.288
301100	301130	0.561
301102	301130	0.279
301104	301130	0.335
301106	301130	0.46
301108	301130	0.563
301109	301130	0.638
301110	301130	0.299
301112	301130	0.472
301113	301130	0.21
301114	301130	0.321
301115	301130	0.321
301116	301130	0.274
301117	301130	0.296
301120	301130	0.626
301012	301130	0.488
301121	301130	0.496
301122	301130	0.282
301123	301130	0.272
301124	301130	0.672
301125	301130	0.563
301127	301130	0.547
301128	301130	0.298
301129	301130	0.293
301001	301131	0.743
301010	301131	0.687
301092	301131	0.333
301093	301131	0.319
301094	301131	0.546
301095	301131	0.353
301096	301131	0.742
301097	301131	0.759
301098	301131	0.775
301099	301131	0.752
301100	301131	0.294
301102	301131	0.759
301104	301131	0.53
301106	301131	0.26
301108	301131	0.305
301109	301131	0.285
301110	301131	0.788
301112	301131	0.319
301113	301131	0.584
301114	301131	0.774
301115	301131	0.787
301116	301131	0.674
301117	301131	0.757
301120	301131	0.342
301012	301131	0.326
301121	301131	0.34
301122	301131	0.761
301123	301131	0.73
301124	301131	0.321
301125	301131	0.343
301127	301131	0.328
301128	301131	0.78
301129	301131	0.708
301130	301131	0.326
301001	301133	0.711
301010	301133	0.674
301092	301133	0.3
301093	301133	0.331
301094	301133	0.521
301095	301133	0.347
301096	301133	0.652
301097	301133	0.662
301098	301133	0.746
301099	301133	0.724
301100	301133	0.304
301102	301133	0.724
301104	301133	0.489
301106	301133	0.233
301108	301133	0.327
301109	301133	0.294
301110	301133	0.715
301112	301133	0.29
301113	301133	0.521
301114	301133	0.666
301115	301133	0.677
301116	301133	0.577
301117	301133	0.662
301120	301133	0.35
301012	301133	0.291
301121	301133	0.309
301122	301133	0.717
301123	301133	0.716
301124	301133	0.342
301125	301133	0.32
301127	301133	0.308
301128	301133	0.716
301129	301133	0.644
301130	301133	0.333
301131	301133	0.696
301001	301134	0.226
301010	301134	0.213
301092	301134	0.856
301093	301134	0.526
301094	301134	0.272
301095	301134	0.515
301096	301134	0.327
301097	301134	0.321
301098	301134	0.284
301099	301134	0.249
301100	301134	0.437
301102	301134	0.253
301104	301134	0.276
301106	301134	0.649
301108	301134	0.471
301109	301134	0.492
301110	301134	0.28
301112	301134	0.721
301113	301134	0.173
301114	301134	0.297
301115	301134	0.311
301116	301134	0.238
301117	301134	0.274
301120	301134	0.505
301012	301134	0.663
301121	301134	0.636
301122	301134	0.253
301123	301134	0.247
301124	301134	0.483
301125	301134	0.628
301127	301134	0.595
301128	301134	0.269
301129	301134	0.325
301130	301134	0.511
301131	301134	0.32
301133	301134	0.28
301001	301135	0.212
301010	301135	0.212
301092	301135	0.507
301093	301135	0.725
301094	301135	0.301
301095	301135	0.739
301096	301135	0.317
301097	301135	0.307
301098	301135	0.283
301099	301135	0.251
301100	301135	0.602
301102	301135	0.243
301104	301135	0.325
301106	301135	0.42
301108	301135	0.594
301109	301135	0.72
301110	301135	0.26
301112	301135	0.441
301113	301135	0.195
301114	301135	0.291
301115	301135	0.291
301116	301135	0.24
301117	301135	0.285
301120	301135	0.698
301012	301135	0.445
301121	301135	0.474
301122	301135	0.255
301123	301135	0.238
301124	301135	0.73
301125	301135	0.541
301127	301135	0.511
301128	301135	0.265
301129	301135	0.278
301130	301135	0.742
301131	301135	0.29
301133	301135	0.306
301134	301135	0.492
301001	301136	0.587
301010	301136	0.558
301092	301136	0.352
301093	301136	0.345
301094	301136	0.813
301095	301136	0.376
301096	301136	0.62
301097	301136	0.628
301098	301136	0.656
301099	301136	0.616
301100	301136	0.339
301102	301136	0.609
301104	301136	0.768
301106	301136	0.285
301108	301136	0.342
301109	301136	0.347
301110	301136	0.624
301112	301136	0.343
301113	301136	0.476
301114	301136	0.623
301115	301136	0.632
301116	301136	0.551
301117	301136	0.604
301120	301136	0.385
301012	301136	0.345
301121	301136	0.363
301122	301136	0.61
301123	301136	0.595
301124	301136	0.396
301125	301136	0.381
301127	301136	0.372
301128	301136	0.619
301129	301136	0.602
301130	301136	0.386
301131	301136	0.632
301133	301136	0.599
301134	301136	0.338
301135	301136	0.345
301001	301138	0.714
301010	301138	0.683
301092	301138	0.321
301093	301138	0.315
301094	301138	0.564
301095	301138	0.358
301096	301138	0.833
301097	301138	0.851
301098	301138	0.764
301099	301138	0.739
301100	301138	0.294
301102	301138	0.738
301104	301138	0.54
301106	301138	0.241
301108	301138	0.294
301109	301138	0.285
301110	301138	0.85
301112	301138	0.307
301113	301138	0.655
301114	301138	0.911
301115	301138	0.922
301116	301138	0.801
301117	301138	0.899
301120	301138	0.344
301012	301138	0.313
301121	301138	0.336
301122	301138	0.746
301123	301138	0.726
301124	301138	0.328
301125	301138	0.344
301127	301138	0.336
301128	301138	0.796
301129	301138	0.801
301130	301138	0.329
301131	301138	0.778
301133	301138	0.676
301134	301138	0.297
301135	301138	0.297
301136	301138	0.636
301001	301139	0.115
301010	301139	0.133
301092	301139	0.377
301093	301139	0.453
301094	301139	0.224
301095	301139	0.478
301096	301139	0.224
301097	301139	0.217
301098	301139	0.2
301099	301139	0.173
301100	301139	0.486
301102	301139	0.159
301104	301139	0.293
301106	301139	0.282
301108	301139	0.615
301109	301139	0.53
301110	301139	0.182
301112	301139	0.343
301113	301139	0.231
301114	301139	0.213
301115	301139	0.211
301116	301139	0.257
301117	301139	0.201
301120	301139	0.527
301012	301139	0.349
301121	301139	0.338
301122	301139	0.177
301123	301139	0.163
301124	301139	0.55
301125	301139	0.403
301127	301139	0.401
301128	301139	0.187
301129	301139	0.198
301130	301139	0.472
301131	301139	0.209
301133	301139	0.222
301134	301139	0.346
301135	301139	0.508
301136	301139	0.265
301138	301139	0.219
301001	301140	0.968
301010	301140	0.846
301092	301140	0.249
301093	301140	0.253
301094	301140	0.483
301095	301140	0.268
301096	301140	0.69
301097	301140	0.699
301098	301140	0.854
301099	301140	0.915
301100	301140	0.217
301102	301140	0.943
301104	301140	0.454
301106	301140	0.173
301108	301140	0.243
301109	301140	0.206
301110	301140	0.853
301112	301140	0.242
301113	301140	0.492
301114	301140	0.704
301115	301140	0.721
301116	301140	0.59
301117	301140	0.694
301120	301140	0.271
301012	301140	0.235
301121	301140	0.256
301122	301140	0.928
301123	301140	0.874
301124	301140	0.254
301125	301140	0.263
301127	301140	0.244
301128	301140	0.873
301129	301140	0.676
301130	301140	0.24
301131	301140	0.741
301133	301140	0.712
301134	301140	0.229
301135	301140	0.21
301136	301140	0.579
301138	301140	0.711
301139	301140	0.115
301001	301383	0.51
301010	301383	0.502
301092	301383	0.335
301093	301383	0.354
