from	to	weight
301004	301028	0.017
301005	301028	0.006
301006	301028	0.007
301007	301028	0.003
301008	301028	0.005
301009	301028	0.003
301010	301028	0.004
301012	301028	0.041
301014	301028	0.004
301015	301028	0.004
301016	301028	0.014
301017	301028	0.011
301018	301028	0.004
301019	301028	0.01
301020	301028	0.006
301022	301028	0.004
301023	301028	0.003
301024	301028	0.003
301025	301028	0.003
301026	301028	0.009
301027	301028	0.038
301001	301029	0.015
301002	301029	0.021
301003	301029	0.003
301004	301029	0.002
301005	301029	0.006
301006	301029	0.002
301007	301029	0.018
301008	301029	0.006
301009	301029	0.018
301010	301029	0.008
301012	301029	0.003
301014	301029	0.007
301015	301029	0.001
301016	301029	0.002
301017	301029	0.002
301018	301029	0.014
301019	301029	0.002
301020	301029	0.008
301022	301029	0.011
301023	301029	0.04
301024	301029	0.02
301025	301029	0.039
301026	301029	0.002
301027	301029	0.003
301028	301029	0.003
301001	301030	0.012
301002	301030	0.012
301003	301030	0.004
301004	301030	0.004
301005	301030	0.015
301006	301030	0.003
301007	301030	0.011
301008	301030	0.018
301009	301030	0.016
301010	301030	0.02
301012	301030	0.005
301014	301030	0.017
301015	301030	0.002
301016	301030	0.003
301017	301030	0.003
301018	301030	0.016
301019	301030	0.003
301020	301030	0.035
301022	301030	0.018
301023	301030	0.012
301024	301030	0.016
301025	301030	0.013
301026	301030	0.003
301027	301030	0.005
301028	301030	0.005
301029	301030	0.009
301001	301031	0.002
301002	301031	0.002
301003	301031	0.013
301004	301031	0.028
301005	301031	0.004
301006	301031	0.013
301007	301031	0.002
301008	301031	0.003
301009	301031	0.002
301010	301031	0.002
301012	301031	0.011
301014	301031	0.003
301015	301031	0.006
301016	301031	0.037
301017	301031	0.086
301018	301031	0.002
301019	301031	0.021
301020	301031	0.003
301022	301031	0.002
301023	301031	0.002
301024	301031	0.002
301025	301031	0.002
301026	301031	0.027
301027	301031	0.012
301028	301031	0.01
301029	301031	0.002
301030	301031	0.003
301001	301032	0.002
301002	301032	0.002
301003	301032	0.011
301004	301032	0.02
301005	301032	0.003
301006	301032	0.024
301007	301032	0.002
301008	301032	0.003
301009	301032	0.002
301010	301032	0.002
301012	301032	0.011
301014	301032	0.002
301015	301032	0.008
301016	301032	0.019
301017	301032	0.031
301018	301032	0.002
301019	301032	0.03
301020	301032	0.003
301022	301032	0.002
301023	301032	0.002
301024	301032	0.002
301025	301032	0.002
301026	301032	0.114
301027	301032	0.009
301028	301032	0.009
301029	301032	0.002
301030	301032	0.003
301031	301032	0.033
301001	301033	0.002
301002	301033	0.002
301003	301033	0.009
301004	301033	0.016
301005	301033	0.003
301006	301033	0.048
301007	301033	0.002
301008	301033	0.002
301009	301033	0.002
301010	301033	0.002
301012	301033	0.01
301014	301033	0.002
301015	301033	0.011
301016	301033	0.013
301017	301033	0.02
301018	301033	0.002
301019	301033	0.033
301020	301033	0.003
301022	301033	0.002
301023	301033	0.002
301024	301033	0.002
301025	301033	0.002
301026	301033	0.055
301027	301033	0.008
301028	301033	0.008
301029	301033	0.002
301030	301033	0.003
301031	301033	0.02
301032	301033	0.048
301001	301034	0.005
301002	301034	0.005
301003	301034	0.006
301004	301034	0.005
301005	301034	0.007
301006	301034	0.003
301007	301034	0.004
301008	301034	0.007
301009	301034	0.005
301010	301034	0.006
301012	301034	0.007
301014	301034	0.006
301015	301034	0.002
301016	301034	0.004
301017	301034	0.004
301018	301034	0.008
301019	301034	0.004
301020	301034	0.009
301022	301034	0.006
301023	301034	0.005
301024	301034	0.006
301025	301034	0.006
301026	301034	0.004
301027	301034	0.006
301028	301034	0.008
301029	301034	0.004
301030	301034	0.011
301031	301034	0.004
301032	301034	0.003
301033	301034	0.003
301001	301035	0.016
301002	301035	0.017
301003	301035	0.004
301004	301035	0.003
301005	301035	0.015
301006	301035	0.002
301007	301035	0.015
301008	301035	0.02
301009	301035	0.023
301010	301035	0.027
301012	301035	0.004
301014	301035	0.021
301015	301035	0.002
301016	301035	0.003
301017	301035	0.003
301018	301035	0.015
301019	301035	0.003
301020	301035	0.027
301022	301035	0.031
301023	301035	0.015
