from	to	weight
LOC_Os01g02550	301266	0.681
LOC_Os01g02550	301269	0.681
LOC_Os01g02550	301026	0.681
LOC_Os01g02550	301271	0.681
LOC_Os01g02550	301272	0.681
LOC_Os01g02550	301273	0.681
LOC_Os01g02550	301274	0.681
LOC_Os01g02550	301275	0.681
LOC_Os01g02550	301276	0.681
LOC_Os01g02550	301277	0.681
LOC_Os01g02550	301278	0.681
LOC_Os01g02550	301279	0.681
LOC_Os01g02550	301027	0.681
LOC_Os01g02550	301280	0.681
LOC_Os01g02550	301281	0.681
LOC_Os01g02550	301282	0.681
LOC_Os01g02550	301283	0.681
LOC_Os01g02550	301284	0.681
LOC_Os01g02550	301285	0.681
LOC_Os01g02550	301286	0.681
LOC_Os01g02550	301287	0.681
LOC_Os01g02550	301289	0.681
LOC_Os01g02550	301003	0.681
LOC_Os01g02550	301028	0.681
LOC_Os01g02550	301290	0.681
LOC_Os01g02550	301291	0.681
LOC_Os01g02550	301292	0.681
LOC_Os01g02550	301293	0.681
LOC_Os01g02550	301294	0.681
LOC_Os01g02550	301295	0.681
LOC_Os01g02550	301296	0.681
LOC_Os01g02550	301297	0.681
LOC_Os01g02550	301298	0.681
LOC_Os01g02550	301299	0.681
LOC_Os01g02550	301029	0.681
LOC_Os01g02550	301300	0.681
LOC_Os01g02550	301301	0.681
LOC_Os01g02550	301303	0.681
LOC_Os01g02550	301304	0.681
LOC_Os01g02550	301305	0.681
LOC_Os01g02550	301306	0.681
LOC_Os01g02550	301308	0.681
LOC_Os01g02550	301309	0.681
LOC_Os01g02550	301030	0.681
LOC_Os01g02550	301310	0.681
LOC_Os01g02550	301311	0.681
LOC_Os01g02550	301312	0.681
LOC_Os01g02550	301313	0.681
LOC_Os01g02550	301314	0.681
LOC_Os01g02550	301315	0.681
LOC_Os01g02550	301316	0.681
LOC_Os01g02550	301317	0.681
LOC_Os01g02550	301318	0.681
LOC_Os01g02550	301031	0.681
LOC_Os01g02550	301320	0.681
LOC_Os01g02550	301321	0.681
LOC_Os01g02550	301322	0.681
LOC_Os01g02550	301324	0.681
LOC_Os01g02550	301325	0.681
LOC_Os01g02550	301326	0.681
LOC_Os01g02550	301327	0.681
LOC_Os01g02550	301328	0.681
LOC_Os01g02550	301329	0.681
LOC_Os01g02550	301032	0.681
LOC_Os01g02550	301330	0.681
LOC_Os01g02550	301331	0.681
LOC_Os01g02550	301332	0.681
LOC_Os01g02550	301333	0.681
LOC_Os01g02550	301334	0.681
LOC_Os01g02550	301335	0.681
LOC_Os01g02550	301336	0.681
LOC_Os01g02550	301337	0.681
LOC_Os01g02550	301338	0.681
LOC_Os01g02550	301339	0.681
LOC_Os01g02550	301033	0.681
LOC_Os01g02550	301340	0.681
LOC_Os01g02550	301393	0.681
LOC_Os01g02550	301341	0.681
LOC_Os01g02550	301343	0.681
LOC_Os01g02550	301344	0.681
LOC_Os01g02550	301345	0.681
LOC_Os01g02550	301346	0.681
LOC_Os01g02550	301347	0.681
LOC_Os01g02550	301034	0.681
LOC_Os01g02550	301348	0.681
LOC_Os01g02550	301350	0.681
LOC_Os01g02550	301351	0.681
LOC_Os01g02550	301352	0.681
LOC_Os01g02550	301353	0.681
LOC_Os01g02550	301355	0.681
LOC_Os01g02550	301356	0.681
LOC_Os01g02550	301035	0.681
LOC_Os01g02550	301358	0.681
LOC_Os01g02550	301359	0.681
LOC_Os01g02550	301396	0.681
LOC_Os01g02550	301361	0.681
LOC_Os01g02550	301362	0.681
LOC_Os01g02550	301363	0.681
LOC_Os01g02550	301364	0.681
LOC_Os01g02550	301365	0.681
LOC_Os01g02550	301366	0.681
LOC_Os01g02550	301367	0.681
LOC_Os01g02550	301368	0.681
LOC_Os01g02550	301369	0.681
LOC_Os01g02550	301370	0.681
LOC_Os01g02550	301371	0.681
LOC_Os01g02550	301372	0.681
LOC_Os01g02550	301037	0.681
LOC_Os01g02550	301373	0.681
LOC_Os01g02550	301374	0.681
LOC_Os01g02550	301375	0.681
LOC_Os01g02550	301377	0.681
LOC_Os01g02550	301378	0.681
LOC_Os01g02550	301380	0.681
LOC_Os01g02550	301004	0.681
LOC_Os01g02550	301038	0.681
LOC_Os01g02550	301039	0.681
LOC_Os01g02550	301040	0.681
LOC_Os01g02550	301041	0.681
LOC_Os01g02550	301042	0.681
LOC_Os01g02550	301043	0.681
LOC_Os01g02550	301045	0.681
LOC_Os01g02550	301005	0.681
LOC_Os01g02550	301047	0.681
LOC_Os01g02550	301049	0.681
LOC_Os01g02550	301050	0.681
LOC_Os01g02550	301051	0.681
LOC_Os01g02550	301052	0.681
LOC_Os01g02550	301053	0.681
LOC_Os01g02550	301054	0.681
LOC_Os01g02550	301055	0.681
LOC_Os01g02550	301006	0.681
LOC_Os01g02550	301056	0.681
LOC_Os01g02550	301401	0.681
LOC_Os01g02550	301416	0.681
LOC_Os01g02550	301417	0.681
LOC_Os01g02550	301404	0.681
LOC_Os01g02550	301405	0.681
LOC_Os01g02550	301386	0.681
LOC_Os01g02550	301406	0.681
LOC_Os01g02550	301402	0.681
LOC_Os01g02550	301418	0.681
LOC_Os01g02550	301408	0.681
LOC_Os01g02550	301419	0.681
LOC_Os01g02550	301420	0.681
LOC_Os01g02550	301421	0.681
LOC_Os01g02550	301409	0.681
LOC_Os01g02550	301410	0.681
LOC_Os01g02550	301387	0.681
LOC_Os01g02550	301411	0.681
LOC_Os01g02550	301414	0.681
LOC_Os01g02550	301415	0.681
LOC_Os01g02550	312001	0.681
LOC_Os01g02550	312002	0.681
LOC_Os01g02550	312004	0.681
LOC_Os01g02550	312005	0.681
LOC_Os01g02550	301388	0.681
LOC_Os01g02550	312009	0.681
LOC_Os01g02550	312010	0.681
LOC_Os01g02550	301058	0.681
LOC_Os01g02550	312017	0.681
LOC_Os01g02550	301059	0.681
LOC_Os01g02550	301060	0.681
LOC_Os01g02550	301062	0.681
LOC_Os01g02550	301007	0.681
LOC_Os01g02550	301063	0.681
LOC_Os01g02550	301064	0.681
LOC_Os01g02550	301066	0.681
LOC_Os01g02550	301067	0.681
LOC_Os01g02550	301068	0.681
LOC_Os01g02550	301069	0.681
LOC_Os01g02550	301422	0.681
LOC_Os01g02550	301071	0.681
LOC_Os01g02550	301072	0.681
LOC_Os01g02550	301008	0.681
LOC_Os01g02550	301075	0.681
LOC_Os01g02550	301076	0.681
LOC_Os01g02550	301077	0.681
LOC_Os01g02550	301081	0.681
LOC_Os01g02550	301009	0.681
LOC_Os01g02550	301083	0.681
LOC_Os01g02550	301084	0.681
LOC_Os01g02550	301085	0.681
LOC_Os01g02550	301086	0.681
LOC_Os01g02550	301088	0.681
LOC_Os01g02550	301090	0.681
LOC_Os01g02550	301091	0.681
LOC_Os01g02560	301001	0.652
LOC_Os01g02560	301010	0.652
LOC_Os01g02560	301092	0.652
LOC_Os01g02560	301093	0.652
LOC_Os01g02560	301094	0.652
LOC_Os01g02560	301095	0.652
LOC_Os01g02560	301096	0.652
LOC_Os01g02560	301097	0.652
LOC_Os01g02560	301098	0.652
LOC_Os01g02560	301099	0.652
LOC_Os01g02560	301100	0.624
LOC_Os01g02560	301102	0.652
LOC_Os01g02560	301104	0.624
LOC_Os01g02560	301106	0.624
LOC_Os01g02560	301108	0.624
LOC_Os01g02560	301109	0.624
LOC_Os01g02560	301110	0.624
LOC_Os01g02560	301112	0.624
LOC_Os01g02560	301113	0.594
LOC_Os01g02560	301114	0.624
LOC_Os01g02560	301115	0.652
LOC_Os01g02560	301116	0.652
LOC_Os01g02560	301117	0.624
LOC_Os01g02560	301120	0.652
LOC_Os01g02560	301012	0.624
LOC_Os01g02560	301121	0.652
LOC_Os01g02560	301122	0.652
LOC_Os01g02560	301123	0.652
LOC_Os01g02560	301124	0.594
LOC_Os01g02560	301125	0.652
LOC_Os01g02560	301127	0.624
LOC_Os01g02560	301128	0.652
LOC_Os01g02560	301129	0.624
LOC_Os01g02560	301130	0.652
LOC_Os01g02560	301131	0.624
LOC_Os01g02560	301133	0.652
LOC_Os01g02560	301134	0.652
LOC_Os01g02560	301135	0.652
LOC_Os01g02560	301136	0.652
LOC_Os01g02560	301138	0.652
LOC_Os01g02560	301139	0.652
LOC_Os01g02560	301140	0.652
LOC_Os01g02560	301383	0.652
LOC_Os01g02560	301141	0.652
LOC_Os01g02560	301142	0.652
LOC_Os01g02560	301143	0.652
LOC_Os01g02560	301144	0.652
LOC_Os01g02560	301145	0.652
LOC_Os01g02560	301146	0.624
LOC_Os01g02560	301147	0.594
LOC_Os01g02560	301148	0.652
LOC_Os01g02560	301149	0.652
LOC_Os01g02560	301150	0.652
LOC_Os01g02560	301014	0.652
LOC_Os01g02560	301151	0.652
LOC_Os01g02560	301152	0.652
LOC_Os01g02560	301153	0.652
LOC_Os01g02560	301154	0.624
LOC_Os01g02560	301155	0.652
LOC_Os01g02560	301156	0.652
LOC_Os01g02560	301157	0.594
LOC_Os01g02560	301158	0.624
LOC_Os01g02560	301015	0.652
LOC_Os01g02560	301162	0.652
LOC_Os01g02560	301163	0.652
LOC_Os01g02560	301164	0.624
LOC_Os01g02560	301165	0.652
LOC_Os01g02560	301168	0.652
LOC_Os01g02560	301169	0.652
LOC_Os01g02560	301170	0.652
LOC_Os01g02560	301016	0.624
LOC_Os01g02560	301171	0.652
LOC_Os01g02560	301172	0.652
LOC_Os01g02560	301173	0.652
LOC_Os01g02560	301174	0.652
LOC_Os01g02560	301175	0.652
LOC_Os01g02560	301176	0.624
LOC_Os01g02560	301178	0.624
LOC_Os01g02560	301180	0.652
LOC_Os01g02560	301017	0.624
LOC_Os01g02560	301181	0.594
LOC_Os01g02560	301182	0.594
LOC_Os01g02560	301183	0.594
LOC_Os01g02560	301184	0.652
LOC_Os01g02560	301186	0.652
LOC_Os01g02560	301187	0.652
LOC_Os01g02560	301189	0.652
LOC_Os01g02560	301190	0.652
LOC_Os01g02560	301002	0.624
LOC_Os01g02560	301018	0.652
LOC_Os01g02560	301191	0.652
LOC_Os01g02560	301192	0.652
LOC_Os01g02560	301193	0.624
LOC_Os01g02560	301194	0.624
LOC_Os01g02560	301195	0.652
LOC_Os01g02560	301196	0.652
LOC_Os01g02560	301197	0.561
LOC_Os01g02560	301198	0.652
LOC_Os01g02560	301200	0.652
LOC_Os01g02560	301019	0.652
LOC_Os01g02560	301202	0.624
LOC_Os01g02560	301204	0.624
LOC_Os01g02560	301205	0.624
LOC_Os01g02560	301206	0.624
LOC_Os01g02560	301207	0.624
LOC_Os01g02560	301208	0.652
LOC_Os01g02560	301209	0.652
LOC_Os01g02560	301210	0.624
LOC_Os01g02560	301020	0.652
LOC_Os01g02560	301211	0.652
LOC_Os01g02560	301212	0.652
LOC_Os01g02560	301213	0.624
LOC_Os01g02560	301214	0.652
LOC_Os01g02560	301215	0.652
LOC_Os01g02560	301216	0.624
LOC_Os01g02560	301217	0.652
LOC_Os01g02560	301218	0.624
LOC_Os01g02560	301219	0.624
LOC_Os01g02560	301221	0.652
LOC_Os01g02560	301222	0.652
LOC_Os01g02560	301223	0.652
LOC_Os01g02560	301224	0.624
LOC_Os01g02560	301225	0.624
LOC_Os01g02560	301226	0.652
LOC_Os01g02560	301227	0.652
LOC_Os01g02560	301229	0.652
LOC_Os01g02560	301022	0.652
LOC_Os01g02560	301230	0.437
LOC_Os01g02560	301231	0.624
LOC_Os01g02560	301232	0.652
LOC_Os01g02560	301233	0.652
LOC_Os01g02560	301234	0.624
LOC_Os01g02560	301235	0.652
LOC_Os01g02560	301236	0.624
LOC_Os01g02560	301237	0.652
LOC_Os01g02560	301238	0.594
LOC_Os01g02560	301239	0.624
LOC_Os01g02560	301023	0.319
LOC_Os01g02560	301240	0.652
LOC_Os01g02560	301241	0.652
LOC_Os01g02560	301242	0.652
LOC_Os01g02560	301243	0.652
LOC_Os01g02560	301245	0.652
LOC_Os01g02560	301246	0.652
LOC_Os01g02560	301247	0.652
LOC_Os01g02560	301248	0.652
LOC_Os01g02560	301249	0.652
LOC_Os01g02560	301024	0.624
LOC_Os01g02560	301250	0.652
LOC_Os01g02560	301251	0.624
LOC_Os01g02560	301252	0.624
LOC_Os01g02560	301253	0.594
LOC_Os01g02560	301254	0.652
LOC_Os01g02560	301255	0.652
LOC_Os01g02560	301256	0.652
LOC_Os01g02560	301257	0.624
LOC_Os01g02560	301258	0.652
LOC_Os01g02560	301025	0.624
LOC_Os01g02560	301260	0.652
LOC_Os01g02560	301261	0.652
LOC_Os01g02560	301262	0.624
LOC_Os01g02560	301264	0.652
LOC_Os01g02560	301265	0.594
LOC_Os01g02560	301266	0.624
LOC_Os01g02560	301267	0.624
LOC_Os01g02560	301269	0.652
LOC_Os01g02560	301026	0.652
LOC_Os01g02560	301270	0.652
LOC_Os01g02560	301271	0.652
LOC_Os01g02560	301272	0.652
LOC_Os01g02560	301273	0.594
LOC_Os01g02560	301274	0.624
LOC_Os01g02560	301275	0.652
LOC_Os01g02560	301276	0.652
LOC_Os01g02560	301277	0.652
LOC_Os01g02560	301278	0.652
LOC_Os01g02560	301279	0.624
LOC_Os01g02560	301027	0.594
LOC_Os01g02560	301280	0.624
LOC_Os01g02560	301281	0.624
LOC_Os01g02560	301282	0.652
LOC_Os01g02560	301283	0.652
LOC_Os01g02560	301284	0.652
LOC_Os01g02560	301285	0.652
LOC_Os01g02560	301286	0.652
LOC_Os01g02560	301287	0.652
LOC_Os01g02560	301289	0.624
LOC_Os01g02560	301003	0.652
LOC_Os01g02560	301028	0.652
LOC_Os01g02560	301290	0.624
LOC_Os01g02560	301291	0.652
LOC_Os01g02560	301292	0.652
LOC_Os01g02560	301293	0.624
LOC_Os01g02560	301294	0.652
LOC_Os01g02560	301295	0.624
LOC_Os01g02560	301296	0.624
LOC_Os01g02560	301297	0.652
LOC_Os01g02560	301298	0.652
LOC_Os01g02560	301299	0.652
LOC_Os01g02560	301029	0.652
LOC_Os01g02560	301300	0.652
LOC_Os01g02560	301301	0.652
LOC_Os01g02560	301303	0.652
LOC_Os01g02560	301304	0.652
LOC_Os01g02560	301305	0.652
LOC_Os01g02560	301306	0.652
LOC_Os01g02560	301308	0.483
LOC_Os01g02560	301309	0.561
LOC_Os01g02560	301030	0.652
LOC_Os01g02560	301310	0.652
LOC_Os01g02560	301311	0.652
LOC_Os01g02560	301312	0.652
LOC_Os01g02560	301313	0.624
LOC_Os01g02560	301314	0.561
LOC_Os01g02560	301315	0.652
LOC_Os01g02560	301316	0.652
LOC_Os01g02560	301317	0.652
LOC_Os01g02560	301318	0.652
LOC_Os01g02560	301319	0.652
LOC_Os01g02560	301031	0.652
LOC_Os01g02560	301320	0.652
LOC_Os01g02560	301321	0.652
LOC_Os01g02560	301322	0.624
LOC_Os01g02560	301324	0.652
LOC_Os01g02560	301325	0.624
LOC_Os01g02560	301326	0.652
LOC_Os01g02560	301327	0.652
LOC_Os01g02560	301328	0.624
LOC_Os01g02560	301329	0.594
LOC_Os01g02560	301032	0.624
LOC_Os01g02560	301330	0.624
LOC_Os01g02560	301331	0.437
LOC_Os01g02560	301332	0.652
LOC_Os01g02560	301333	0.652
LOC_Os01g02560	301334	0.594
LOC_Os01g02560	301335	0.624
LOC_Os01g02560	301336	0.652
LOC_Os01g02560	301337	0.652
LOC_Os01g02560	301338	0.652
LOC_Os01g02560	301339	0.652
LOC_Os01g02560	301033	0.652
LOC_Os01g02560	301340	0.652
LOC_Os01g02560	301393	0.652
LOC_Os01g02560	301341	0.624
LOC_Os01g02560	301342	0.483
LOC_Os01g02560	301343	0.652
LOC_Os01g02560	301344	0.652
LOC_Os01g02560	301345	0.652
LOC_Os01g02560	301346	0.594
LOC_Os01g02560	301347	0.652
LOC_Os01g02560	301034	0.652
LOC_Os01g02560	301348	0.652
LOC_Os01g02560	301350	0.652
LOC_Os01g02560	301351	0.652
LOC_Os01g02560	301352	0.652
LOC_Os01g02560	301353	0.652
LOC_Os01g02560	301355	0.652
LOC_Os01g02560	301356	0.624
LOC_Os01g02560	301035	0.624
LOC_Os01g02560	301358	0.652
LOC_Os01g02560	301359	0.652
LOC_Os01g02560	301360	0.624
LOC_Os01g02560	301396	0.652
LOC_Os01g02560	301361	0.652
LOC_Os01g02560	301362	0.624
